Resumen de training_data_v5 (6 filas x 2001 cols)
--------------------------------------------------
Col 157: Min=0.300 | Max=25.000 | Mean=6.896 | Infs=0 | NaNs=0
Col 158: Min=0.300 | Max=25.000 | Mean=6.906 | Infs=0 | NaNs=0
Col 159: Min=0.300 | Max=25.000 | Mean=6.913 | Infs=0 | NaNs=0
Col 160: Min=0.300 | Max=25.000 | Mean=6.923 | Infs=0 | NaNs=0
Col 161: Min=0.320 | Max=25.000 | Mean=6.954 | Infs=0 | NaNs=0
Col 162: Min=0.340 | Max=27.875 | Mean=7.441 | Infs=0 | NaNs=0
Col 163: Min=0.340 | Max=27.875 | Mean=7.458 | Infs=0 | NaNs=0
Col 164: Min=0.340 | Max=32.413 | Mean=8.211 | Infs=0 | NaNs=0
Col 165: Min=0.360 | Max=38.050 | Mean=9.126 | Infs=0 | NaNs=0
Col 166: Min=-0.000 | Max=41.071 | Mean=9.575 | Infs=0 | NaNs=0
Col 167: Min=0.400 | Max=36.210 | Mean=8.735 | Infs=0 | NaNs=0
Col 168: Min=0.300 | Max=25.000 | Mean=6.846 | Infs=0 | NaNs=0
Col 169: Min=0.300 | Max=25.000 | Mean=6.859 | Infs=0 | NaNs=0
Col 170: Min=0.300 | Max=25.000 | Mean=6.876 | Infs=0 | NaNs=0
Col 171: Min=0.300 | Max=25.000 | Mean=6.886 | Infs=0 | NaNs=0
Col 172: Min=0.320 | Max=25.000 | Mean=6.897 | Infs=0 | NaNs=0
Col 173: Min=0.320 | Max=25.000 | Mean=6.917 | Infs=0 | NaNs=0
Col 174: Min=0.320 | Max=25.000 | Mean=6.930 | Infs=0 | NaNs=0
Col 175: Min=0.340 | Max=36.642 | Mean=8.839 | Infs=0 | NaNs=0
Col 176: Min=0.340 | Max=36.921 | Mean=8.908 | Infs=0 | NaNs=0
Col 177: Min=0.380 | Max=36.921 | Mean=8.915 | Infs=0 | NaNs=0
Col 178: Min=-0.000 | Max=41.215 | Mean=9.552 | Infs=0 | NaNs=0
Col 179: Min=0.000 | Max=41.461 | Mean=9.620 | Infs=0 | NaNs=0
Col 180: Min=0.440 | Max=37.874 | Mean=9.010 | Infs=0 | NaNs=0
Col 181: Min=0.360 | Max=25.000 | Mean=6.874 | Infs=0 | NaNs=0
Col 182: Min=0.360 | Max=30.330 | Mean=7.761 | Infs=0 | NaNs=0
Col 183: Min=0.360 | Max=30.330 | Mean=7.764 | Infs=0 | NaNs=0
Col 184: Min=0.360 | Max=35.652 | Mean=8.635 | Infs=0 | NaNs=0
Col 185: Min=0.380 | Max=37.104 | Mean=8.865 | Infs=0 | NaNs=0
Col 186: Min=0.380 | Max=38.050 | Mean=9.053 | Infs=0 | NaNs=0
Col 187: Min=-0.000 | Max=41.215 | Mean=9.516 | Infs=0 | NaNs=0
Col 188: Min=0.420 | Max=36.497 | Mean=8.692 | Infs=0 | NaNs=0
Col 189: Min=0.320 | Max=25.000 | Mean=6.759 | Infs=0 | NaNs=0
Col 190: Min=0.320 | Max=25.000 | Mean=6.756 | Infs=0 | NaNs=0
Col 191: Min=0.320 | Max=25.000 | Mean=6.770 | Infs=0 | NaNs=0
Col 192: Min=0.320 | Max=25.000 | Mean=6.777 | Infs=0 | NaNs=0
Col 193: Min=0.320 | Max=25.000 | Mean=6.787 | Infs=0 | NaNs=0
Col 194: Min=0.320 | Max=25.000 | Mean=6.794 | Infs=0 | NaNs=0
Col 195: Min=0.340 | Max=25.000 | Mean=6.817 | Infs=0 | NaNs=0
Col 196: Min=0.340 | Max=30.330 | Mean=7.694 | Infs=0 | NaNs=0
Col 197: Min=0.340 | Max=32.413 | Mean=8.051 | Infs=0 | NaNs=0
Col 198: Min=0.360 | Max=38.050 | Mean=8.970 | Infs=0 | NaNs=0
Col 199: Min=0.358 | Max=39.868 | Mean=9.241 | Infs=0 | NaNs=0
Col 200: Min=-0.000 | Max=41.145 | Mean=9.441 | Infs=0 | NaNs=0
Col 201: Min=0.420 | Max=36.893 | Mean=8.701 | Infs=0 | NaNs=0
Col 202: Min=0.320 | Max=25.000 | Mean=6.720 | Infs=0 | NaNs=0
Col 203: Min=0.320 | Max=25.000 | Mean=6.750 | Infs=0 | NaNs=0
Col 204: Min=0.320 | Max=25.000 | Mean=6.810 | Infs=0 | NaNs=0
Col 205: Min=0.320 | Max=25.000 | Mean=6.897 | Infs=0 | NaNs=0
Col 206: Min=0.340 | Max=25.000 | Mean=7.014 | Infs=0 | NaNs=0
Col 207: Min=0.340 | Max=27.875 | Mean=7.661 | Infs=0 | NaNs=0
Col 208: Min=0.340 | Max=35.652 | Mean=9.188 | Infs=0 | NaNs=0
Col 209: Min=-0.000 | Max=41.145 | Mean=10.604 | Infs=0 | NaNs=0
